eventID,eventDate,occurrenceID,basisOfRecord,recordNumber,catalogNumber,organismName,organismID,scientificName,lifeStage,sex,individualCount,taxonID,kingdom,phylum,family,genus,speciesEpithet,occurrenceStatus,recordedByID
089b9593-571c-4fd9-b66d-543a04402bef,2017-06-01,45077036-8297-435b-a988-425501118b3e,MaterialSample,RH01088,Genlab_ID,Lmu192,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
6fa389e4-2d23-44c8-a87a-7355d2f689a1,2017-05-26,7bc43ea7-ebcf-42d8-b292-7a467741da72,MaterialSample,RH01296,Genlab_ID,Lmu362,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
6fa389e4-2d23-44c8-a87a-7355d2f689a1,2017-05-26,1d53c830-76bd-4988-b0cc-94ca1d7f40de,MaterialSample,RH01204,Genlab_ID,Lmu380,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
6fa389e4-2d23-44c8-a87a-7355d2f689a1,2017-05-26,418e8219-55c3-4476-9735-ca94b11d5c47,MaterialSample,RH01280,Genlab_ID,Lmu384,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
1f288172-ace4-41c5-8d19-fec7403f952f,2017-05-26,0c57fee3-c905-4dbc-9f54-5cccebf4a16a,MaterialSample,RH01283,Genlab_ID,Lmu386,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
669b815a-8bd5-402d-a79d-7312e44d27d4,2017-05-26,72584a68-65bc-4dbd-b938-03563404b9e0,MaterialSample,RH01135,Genlab_ID,Lmu248,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
b8a6673c-7ab0-4125-b202-251a6c88c213,2017-05-26,2e44a9f5-b1fe-47cc-b6b5-324da108546e,MaterialSample,RH01188,Genlab_ID,Lmu234,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
917222fd-ad39-43be-9a8f-5608a481c43f,2017-05-26,48ed0215-0dfb-47b6-ab7c-e290134b9c3e,MaterialSample,RH01148,Genlab_ID,Lmu365,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
7db94ccf-133b-44a4-b9b3-c6fd41ae2781,2017-05-26,5eb920b9-93bf-4538-b6e7-fc5cc8cff606,MaterialSample,RH01184,Genlab_ID,Lmu343,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
15769dce-77a7-4bf9-95be-20ea0de85fb8,2017-05-25,e719a26c-4b11-4c0b-babf-7574ccc1f39d,MaterialSample,RH01134,Genlab_ID,Lmu361,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
